english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
What game are you playing?,Vad spelar du för spel?,Vad är det för spel du spelar?,Vad är det för spel du spelar?,"[""DIR"", ""SEM""]",True,"[""I have my ways."", ""You don't need to understand."", ""You mean Fran\u00e7ois is with them..."", ""-No, no."", ""I didn't say a word."", ""This is too complicated for me."", ""About the money..."", ""Come back later."", ""Fran\u00e7ois."", ""Why do you hang out with that scum?""]"
"No, I won't let you go, understood?","Nej, jag låter dig inte gå, förstått?","Nej, jag kommer inte släppa dig, är det förstått?","Nej, jag släpper dig inte, förstått?","[""DIR"", ""SEM""]",False,"[""You mean Fran\u00e7ois is with them..."", ""-No, no."", ""I didn't say a word."", ""This is too complicated for me."", ""About the money..."", ""Come back later."", ""Fran\u00e7ois."", ""Why do you hang out with that scum?"", ""What game are you playing?"", ""-Go back to your horses.""]"
You let me go when I tell you to.,Släpp mig när jag säger till.,Du släpper mig när jag säger åt dig att göra det,Du släpper mig när jag säger till.,"[""SAK"", ""BET"", ""SEM""]",False,"[""-No, no."", ""I didn't say a word."", ""This is too complicated for me."", ""About the money..."", ""Come back later."", ""Fran\u00e7ois."", ""Why do you hang out with that scum?"", ""What game are you playing?"", ""-Go back to your horses."", ""No, I won't let you go, understood?""]"
"You may be suspended, but you're still a cop.","Du kanske blir avstängd, men du är fortfarande polis.","Du må vara avstängd, men du är fortfarande polis.","Du kan vara avstängd, men du är fortfarande polis.","[""LF"", ""BET""]",False,"[""I didn't say a word."", ""This is too complicated for me."", ""About the money..."", ""Come back later."", ""Fran\u00e7ois."", ""Why do you hang out with that scum?"", ""What game are you playing?"", ""-Go back to your horses."", ""No, I won't let you go, understood?"", ""You let me go when I tell you to.""]"
"Come on, get dressed.",Klä på dig.,"Kom igen, klä på dig","Kom igen, klä på dig.","[""SAK"", ""SEM""]",True,"[""What game are you playing?"", ""-Go back to your horses."", ""No, I won't let you go, understood?"", ""You let me go when I tell you to."", ""You may be suspended, but you're still a cop."", ""In bed with a whore, great."", ""She quit a long time ago."", ""-Are you sure of that?"", ""A cop who sleeps with a whore, is a customer."", ""A cop who lives with a whore, is a pimp.""]"
We're taking you in.,Vi ska ta in dig.,Vi tar in dig,Vi tar in dig.,"[""GR"", ""PR""]",True,"[""-Go back to your horses."", ""No, I won't let you go, understood?"", ""You let me go when I tell you to."", ""You may be suspended, but you're still a cop."", ""In bed with a whore, great."", ""She quit a long time ago."", ""-Are you sure of that?"", ""A cop who sleeps with a whore, is a customer."", ""A cop who lives with a whore, is a pimp."", ""Come on, get dressed.""]"
Go.,Kör.,Kom igen,Gå.,"[""SEM""]",False,"[""Shut up!"", ""Oh you're the funniest son-of-a-gun I ever met."", ""Alright you old goat."", ""I'll stay."", ""For a couple of days."", ""But you've got to remember where you left your mind."", ""I cook you good meal."", ""Real service food."", ""Chili.."", ""Bring me some wood for the fire.""]"
Touching to see an old colleague at the end of his career.,Att se en gammal kollega i slutet av sin karriär.,Gripande att se en gammal kollega i slutet av sin karriär,Rörande att se en gammal kollega i slutet av hans karriär.,"[""SAK"", ""BET""]",False,"[""You may be suspended, but you're still a cop."", ""In bed with a whore, great."", ""She quit a long time ago."", ""-Are you sure of that?"", ""A cop who sleeps with a whore, is a customer."", ""A cop who lives with a whore, is a pimp."", ""Come on, get dressed."", ""We're taking you in."", ""Go."", ""You're really an old man.""]"
Our station's behind it.,Vår station ligger bakom det.,Vår station ligger där bakom,Vår station ligger bakom det.,"[""SEM"", ""PR""]",False,"[""-Are you sure of that?"", ""A cop who sleeps with a whore, is a customer."", ""A cop who lives with a whore, is a pimp."", ""Come on, get dressed."", ""We're taking you in."", ""Go."", ""You're really an old man."", ""Touching to see an old colleague at the end of his career."", ""Yes."", ""Do you see the subway?""]"
What's wrong?,Vad är det?,Vad är problemet?,Vad är fel?,"[""SEM""]",False,"[""Fine, but we have to finish this!"", ""If you're not down here in ten minutes,"", ""I am climbing in with you!"", ""(men cheering)"", ""I don't know what it is, but there's something sexy"", ""- about a room full of guys watching sports."", ""- Mm-hmm."", ""Makes sense."", ""Ever since they started sitting down to pee, it's really the only manly thing they do."", ""Unbelievable!""]"
People just don't notice a black person.,Folk märker bara inte en svart person.,Folk lägger bara inte märke till en svart person.,Folk märker helt enkelt inte en svart person.,"[""PR""]",True,"[""You can sleep here."", ""And you?"", ""-I work at night."", ""I don't understand."", ""I don't understand what he's doing."", ""Did you ask him?"", ""He's not talking to me anymore."", ""Do you want us to follow Fran\u00e7ois?"", ""He'd notice right away."", ""When you're black in Paris, you could die in the street and nobody would notice.""]"
I taught her to pretend she was enjoying herself.,Jag lärde henne att låtsas att hon roade sig.,Jag lärde henne låtsas som om hon njöt av det,Jag lärde henne att låtsas njuta.,"[""DIR"", ""SEM""]",False,"[""He's not talking to me anymore."", ""Do you want us to follow Fran\u00e7ois?"", ""He'd notice right away."", ""When you're black in Paris, you could die in the street and nobody would notice."", ""People just don't notice a black person."", ""I don't like to see you like this, Ren\u00e9."", ""He could have made it to chief."", ""-It's not your fault."", ""Do you remember Cathy?"", ""The little girl from the Rue Lamarck.""]"
But she really enjoyed herself with her customers.,Men hon njöt verkligen av sina kunder.,Men hon njöt verkligen med sina kunder,Men hon njöt faktiskt med sina kunder.,"[""LF"", ""SEM""]",True,"[""Do you want us to follow Fran\u00e7ois?"", ""He'd notice right away."", ""When you're black in Paris, you could die in the street and nobody would notice."", ""People just don't notice a black person."", ""I don't like to see you like this, Ren\u00e9."", ""He could have made it to chief."", ""-It's not your fault."", ""Do you remember Cathy?"", ""The little girl from the Rue Lamarck."", ""I taught her to pretend she was enjoying herself.""]"
But François could have gone straight.,Men François kunde ha gått rakt på sak.,Men François hade kunnat bli laglydig,Men François kunde ha blivit hederlig.,"[""SL"", ""LF"", ""BET""]",True,"[""He'd notice right away."", ""When you're black in Paris, you could die in the street and nobody would notice."", ""People just don't notice a black person."", ""I don't like to see you like this, Ren\u00e9."", ""He could have made it to chief."", ""-It's not your fault."", ""Do you remember Cathy?"", ""The little girl from the Rue Lamarck."", ""I taught her to pretend she was enjoying herself."", ""But she really enjoyed herself with her customers.""]"
I don't know what you're doing with those 2 assholes but they're out of your league.,"Jag vet inte vad du gör med de där två skitstövlarna, men de är inte i din liga.","Jag vet inte vad du gör med de där två skitstövlarna, men de är på en annan nivå","Jag vet inte vad du gör med de där två idioterna, men de är för mycket för dig.","[""ID"", ""DIR"", ""BET""]",False,"[""I taught her to pretend she was enjoying herself."", ""But she really enjoyed herself with her customers."", ""But Fran\u00e7ois could have gone straight."", ""That's true."", ""Like a perfect piece of fruit that's rotten inside."", ""And he was rotten way before you started looking after him."", ""Isn't this what you wanted?"", ""The gun and the money are on the table."", ""You changed, Fran\u00e7ois."", ""You're hallucinating.""]"
He did a complete 180.,Han gjorde hela 180.,Han gjorde en total 180,Han gjorde en helomvändning.,"[""SL"", ""SEM""]",True,"[""-I'd like to see Ren\u00e9."", ""Don't know him."", ""-But Simone said he's here."", ""He's not here."", ""-But he must be."", ""He's not here."", ""-I have to see him."", ""It's important."", ""I don't know him."", ""-But that's not possible.""]"
I would have made him work for it.,Jag hade fått honom att jobba för det.,Jag hade tvingat honom att kämpa för det,Jag skulle ha fått honom att jobba för det.,"[""SEM""]",False,"[""He's not here."", ""-I have to see him."", ""It's important."", ""I don't know him."", ""-But that's not possible."", ""He did a complete 180."", ""Do like me."", ""Try to forget him."", ""I wanted him to make it to chief."", ""-Me too.""]"
He's getting in deeper and deeper.,Han kommer in djupare och djupare.,Han blir indragen allt djupare,Han hamnar djupare och djupare.,"[""DIR"", ""SEM""]",False,"[""-But that's not possible."", ""He did a complete 180."", ""Do like me."", ""Try to forget him."", ""I wanted him to make it to chief."", ""-Me too."", ""I would have made him work for it."", ""We would have done it."", ""But now we look like idiots."", ""We have to save him.""]"
The registration's on the note.,Registreringen står på notan.,Registreringsnumret står på lappen,Registreringsnumret står på lappen.,"[""LF"", ""BET""]",True,"[""Because you don't love him."", ""I do, but I can't do anything."", ""But do what?"", ""-Electroshock."", ""You're the only one."", ""I see."", ""You go to the parking at Porte de Clignancourt."", ""You take a car."", ""-Do I steal one?"", ""No, we have the key.""]"
Follow me.,Följ mig.,Följ efter mig,Följ mig.,"[""DIR"", ""PR""]",False,"[""Okay, toodles!"", ""Wait, Pac!"", ""Pac!"", ""Pac!"", ""First place, reading compression."", ""Comprehension."", ""Mr. Pacalioglu, I presume?"", ""Correctomundo."", ""And you are?"", ""Principal Herring.""]"
"No, but touched that you're here.","Nej, men rörde vid att du är här.","Nej, men rörd  att du är här","Nej, men rörd över att du är här.","[""LF"", ""GR"", ""BET""]",True,"[""I was right not to trust him."", ""He's going to set us up."", ""Hello, headquarters, Brisson here."", ""-Headquarters here."", ""Give me the chief."", ""-Bloret?"", ""Yes, Bloret."", ""Up there, on the roof."", ""Ren\u00e9?"", ""Ren\u00e9, are you hit?""]"
I'll get them.,Jag hämtar dem.,Jag ska ta dem,Jag hämtar dem.,"[""DIR"", ""BET""]",False,"[""-No, but touched that you're here."", ""You're tickling me."", ""Stop it."", ""I'm fine."", ""What, you're alright?"", ""-I just wanted to see you."", ""Ren\u00e9, asshole."", ""You're fucking with me."", ""Let it go, Fran\u00e7ois."", ""-I'm screwing them.""]"
By the balls!,Vid kulorna!,I ett grepp!,I pungen!,"[""SL"", ""DIR"", ""BET""]",False,"[""Stop it."", ""I'm fine."", ""What, you're alright?"", ""-I just wanted to see you."", ""Ren\u00e9, asshole."", ""You're fucking with me."", ""Let it go, Fran\u00e7ois."", ""-I'm screwing them."", ""I'll get them."", ""No, they'll get you.""]"
"You don't look too good, chief.","Du ser inte så bra ut, chefen.","Du ser inte ut att må så bra, chefen","Du ser inte så bra ut, chef.","[""DIR"", ""BET""]",False,"[""Fran\u00e7ois."", ""-You don't understand a thing."", ""You're too old and too stupid."", ""We've been following them for a week."", ""Search the car."", ""Look, chief."", ""Bravo."", ""-One day, you'll thank me."", ""Maybe not today though."", ""Loser.""]"
"Clear all this up, but discretely.","Rensa upp allt detta, men diskret.",Red ut allt det här,"Rensa upp allt det här, men diskret.","[""DIR"", ""BET"", ""PR""]",False,"[""You're too old and too stupid."", ""We've been following them for a week."", ""Search the car."", ""Look, chief."", ""Bravo."", ""-One day, you'll thank me."", ""Maybe not today though."", ""Loser."", ""You don't look too good, chief."", ""-You're making me sick.""]"
I'll continue to work with you.,Jag fortsätter jobba med dig.,Jag kommer fortsätta jobba med dig,Jag fortsätter jobba med dig.,"[""SAK"", ""SEM""]",False,"[""-You're making me sick."", ""Clear all this up, but discretely."", ""No scandal."", ""I've had it."", ""Everything hurts."", ""But he made them tell me he'd been shot."", ""That's why we were together."", ""Tell them that's the truth."", ""Ren\u00e9, damnit, tell them."", ""I swear that's the truth.""]"
"If you like lousy biographies, you're in for a good time.","Om du gillar usla biografier, är du inne för en bra tid.","Om du gillar usla biografier har du något att se
fram emot.",Om du gillar usla biografier får du det trevligt.,"[""ID"", ""DIR"", ""BET""]",False,"[""Everything hurts."", ""But he made them tell me he'd been shot."", ""That's why we were together."", ""Tell them that's the truth."", ""Ren\u00e9, damnit, tell them."", ""I swear that's the truth."", ""I'll continue to work with you."", ""That's possible."", ""But we need a scapegoat."", ""I'll tell you everything about him.""]"
The rates?,Hur mycket kostar det?,Och priserna?,Priserna?,"[""ADD"", ""PR""]",True,"[""I'll continue to work with you."", ""That's possible."", ""But we need a scapegoat."", ""I'll tell you everything about him."", ""If you like lousy biographies, you're in for a good time."", ""Nobody'll mind if you exaggerate a bit."", ""No need."", ""The truth is good enough."", ""The list of all the people he extorted money from."", ""Corresponds to the phone directory of the neighbourhood.""]"
Repeatedly.,Upprepat.,Flera gånger,Upprepade gånger.,"[""PR""]",True,"[""Corresponds to the phone directory of the neighbourhood."", ""The rates?"", ""-You'll get those too."", ""What do you know about his private life?"", ""-That he lives with a whore."", ""He says she's an ex whore."", ""-He doesn't mean ex-whore."", ""He means old whore."", ""She only does it three times a month for her cigarettes."", ""Has he tried to bribe you?""]"
He'd place his bet after they threw the dice.,Han satsade när de kastade tärningarna.,Han brukade satsa efter att de kastat tärningarna.,Han satsade efter att de kastade tärningarna.,"[""SAK"", ""SEM""]",False,"[""She only does it three times a month for her cigarettes."", ""Has he tried to bribe you?"", ""-Repeatedly."", ""For instance?"", ""-He eats for free in a restaurant."", ""The few times I was there with him he didn't want me to pay."", ""What was the name of that restaurant?"", ""Chez Fernand."", ""In exchange for free food, he'd turn a blind eye."", ""Tell us more.""]"
He's a small fish.,Han är en liten fisk.,Han är en liten spelare.,Han är en småfisk.,"[""SL"", ""DIR"", ""BET""]",False,"[""-Repeatedly."", ""For instance?"", ""-He eats for free in a restaurant."", ""The few times I was there with him he didn't want me to pay."", ""What was the name of that restaurant?"", ""Chez Fernand."", ""In exchange for free food, he'd turn a blind eye."", ""Tell us more."", ""He'd place his bet after they threw the dice."", ""And he'd get 100 francs.""]"
Hardly anything.,Svårt vad som helst.,Nästan ingenting,Nästan ingenting.,"[""LF"", ""GR"", ""BET""]",True,"[""Asshole."", ""I'll kill you."", ""You're a dead man."", ""Two cops."", ""And here!"", ""There's 120,000 of us in France..."", ""Come, get out of here."", ""-And quickly."", ""Wait."", ""You made up a bit, asshole.""]"
"Yes, it was a strategy to get to the big guys.","Ja, det var en strategi för att komma åt de stora killarna.","Ja, det var en strategi för att komma åt högsta hönsen.","Ja, det var en strategi för att komma åt de stora.","[""SL"", ""DIR"", ""SEM""]",False,"[""You're a dead man."", ""Two cops."", ""And here!"", ""There's 120,000 of us in France..."", ""Come, get out of here."", ""-And quickly."", ""Wait."", ""You made up a bit, asshole."", ""-Hardly anything."", ""Great, you two solved the problem.""]"
So they think we're in it to our necks.,Så de tror att vi är i det till våra halsar.,Så de tror att vi sitter i det upp över öronen.,Så de tror att vi sitter i det upp över öronen.,"[""ID"", ""DIR"", ""SEM""]",True,"[""And here!"", ""There's 120,000 of us in France..."", ""Come, get out of here."", ""-And quickly."", ""Wait."", ""You made up a bit, asshole."", ""-Hardly anything."", ""Great, you two solved the problem."", ""Yes, it was a strategy to get to the big guys."", ""Now, we're pretending we're fleeing.""]"
We'd never be so...,Vi skulle aldrig bli så...,Vi hade aldrig varit så...,Vi skulle aldrig vara så…,"[""LF"", ""SEM""]",True,"[""Wait."", ""You made up a bit, asshole."", ""-Hardly anything."", ""Great, you two solved the problem."", ""Yes, it was a strategy to get to the big guys."", ""Now, we're pretending we're fleeing."", ""So they think we're in it to our necks."", ""Great."", ""Was that your idea?"", ""No, the new guys, geniuses.""]"
Kick ass!,Sparka röv!,Du äger!,Krossa dem!,"[""SL"", ""DIR"", ""BET""]",False,"[""Jimmy!"", ""Come on."", ""- Come on."", ""- Everybody down!"", ""Lindsey."", ""I love you."", ""Yes!"", ""Hot damn, Dunn."", ""I was wrong about you."", ""You are a good soldier.""]"
I just stopped by your house to inquire on Captain Bartlett.,Jag kom bara förbi för att fråga kapten Bartlett.,Jag kom bara förbi för att ställa några frågor om kapten Barlett,Jag tittade bara förbi ditt hus för att höra om kapten Bartlett.,"[""SAK"", ""BET"", ""PR""]",False,"[""No, no. lt was Thanksgiving."", ""Well, it hung around till Christmas."", ""I want to thank you all."", ""You've been so good to my grandfather."", ""Well, Mrs. Snow told me all about it."", ""We done ship together."", ""He's our mate."", ""You've just been so kind, and I really appreciate it."", ""Hello, Mr. Hazeltine."", ""Hello, Captain.""]"
Mrs. Snow seems to have things quite in hand.,Mrs Snow verkar ha saker i sin hand.,Fru Snow verkar ha koll på läget,Fru Snow verkar ha allt under kontroll.,"[""ID"", ""DIR"", ""BET""]",True,"[""Well, it hung around till Christmas."", ""I want to thank you all."", ""You've been so good to my grandfather."", ""Well, Mrs. Snow told me all about it."", ""We done ship together."", ""He's our mate."", ""You've just been so kind, and I really appreciate it."", ""Hello, Mr. Hazeltine."", ""Hello, Captain."", ""I just stopped by your house to inquire on Captain Bartlett.""]"
She seems as though trouble doesn't trouble her at all.,Hon verkar inte besvära henne alls.,Hon verkar som om bekymmer inte bekymrar henne alls,Hon verkar som om problem inte bekymrar henne alls.,"[""SAK"", ""BET"", ""PR""]",True,"[""I want to thank you all."", ""You've been so good to my grandfather."", ""Well, Mrs. Snow told me all about it."", ""We done ship together."", ""He's our mate."", ""You've just been so kind, and I really appreciate it."", ""Hello, Mr. Hazeltine."", ""Hello, Captain."", ""I just stopped by your house to inquire on Captain Bartlett."", ""Mrs. Snow seems to have things quite in hand.""]"
"I judge she's seen enough of it, too.",Jag bedömer att hon har sett nog av det också.,Jag gissar att hon sett en hel del också,Jag gissar att hon har sett nog av det också.,"[""DIR"", ""SEM""]",False,"[""You've been so good to my grandfather."", ""Well, Mrs. Snow told me all about it."", ""We done ship together."", ""He's our mate."", ""You've just been so kind, and I really appreciate it."", ""Hello, Mr. Hazeltine."", ""Hello, Captain."", ""I just stopped by your house to inquire on Captain Bartlett."", ""Mrs. Snow seems to have things quite in hand."", ""She seems as though trouble doesn't trouble her at all.""]"
It's queer how trouble acts in folks.,Det är underligt hur problem beter sig hos folk.,Det är märkligt hur trubbel ter sig hos folk,Det är underligt hur problem påverkar folk.,"[""DIR"", ""SEM"", ""PR""]",True,"[""Well, Mrs. Snow told me all about it."", ""We done ship together."", ""He's our mate."", ""You've just been so kind, and I really appreciate it."", ""Hello, Mr. Hazeltine."", ""Hello, Captain."", ""I just stopped by your house to inquire on Captain Bartlett."", ""Mrs. Snow seems to have things quite in hand."", ""She seems as though trouble doesn't trouble her at all."", ""I judge she's seen enough of it, too.""]"
You'll both be fine.,Ni klarar er båda två.,Ni båda kommer klara er fint,Ni båda kommer klara er fint.,"[""SAK"", ""SEM""]",True,"[""That is a creepy smile."", ""I bet the Donkey's is even creepier."", ""- Do I have to explain?"", ""- Nope."", ""That's my job."", ""Contagious ecthyma."", ""Any contact can cause rashes, flu symptoms, sore throat."", ""Has there been..."", ""Contact?"", ""Okay, antibiotic cream for you, and a love glove for Francis.""]"
"Sorry, I hate Westerns.","Förlåt, jag hatar västerlänningar.","Förlåt, jag hatar westernfilmer.","Förlåt, jag hatar westerns.","[""LF"", ""BET""]",True,"[""- Nope."", ""That's my job."", ""Contagious ecthyma."", ""Any contact can cause rashes, flu symptoms, sore throat."", ""Has there been..."", ""Contact?"", ""Okay, antibiotic cream for you, and a love glove for Francis."", ""You'll both be fine."", ""You should come see the show."", ""I think you'd like it.""]"
"People have a right to a little privacy, even from the people they love.","Människor har rätt till lite avskildhet, även från de människor de älskar.","Folk har rätt till lite privatliv, även från människorna de älskar","Människor har rätt till lite privatliv, även från dem de älskar.","[""SEM"", ""PR""]",True,"[""I think you'd like it."", ""Sorry, I hate Westerns."", ""So they really never lie?"", ""Doesn't seem like it."", ""Admirable."", ""- You tell Cameron everything?"", ""- No."", ""You think she keeps secrets?"", ""If I knew, they wouldn't be secrets."", ""I hope she does.""]"
The bone is smoking.,Benet röker.,Benet ryker,Benet ryker.,"[""LF"", ""BET""]",True,"[""You think she keeps secrets?"", ""If I knew, they wouldn't be secrets."", ""I hope she does."", ""People have a right to a little privacy, even from the people they love."", ""You buy House a present?"", ""Why would i?"", ""To screw with me."", ""Then I'm gonna say yes."", ""Wait, stop, stop."", ""What's that smell?""]"
Her Bones are harder than the drill?,Är hennes ben svårare än borren?,Hennes ben är hårdare än borren?,Hennes ben är hårdare än borren?,"[""LF"", ""BET"", ""PR""]",True,"[""If I knew, they wouldn't be secrets."", ""I hope she does."", ""People have a right to a little privacy, even from the people they love."", ""You buy House a present?"", ""Why would i?"", ""To screw with me."", ""Then I'm gonna say yes."", ""Wait, stop, stop."", ""What's that smell?"", ""The bone is smoking.""]"
Your so cold,Du är så förkyld.,Du är så kall,Du är så kall.,"[""LF"", ""BET""]",True,"[""Not here"", ""Oh .. this could be interesting"", ""This could be very interesting"", ""Have you ever used one of these"", ""Of course you have"", ""You have to be very careful cause it's easy to get cut"", ""So tell me why did you kill him i didnt kill him , what did he ever do to you he was so innocent"", ""Your husband did it"", ""Dont lie to me Scarlet"", ""I'm not lying i swear""]"
That's obstruction of justice.,Det är ett hinder för rättvisan.,Det är övergrepp i rättssak,Det där är rättshinder.,"[""ST"", ""PR""]",False,"[""You know?"", ""Don't go anywhere."", ""We'll be back."", ""- You ever had hot apple pie..."", ""- Let's go, Sams."", ""- [door shuts] - [sighing]"", ""[Zoey] I went into Lana's room, and that's when I saw Katie there, dead."", ""We heard the cops were coming, so that's when we had to hide the body."", ""Wait, you moved the body?"", ""Mm-hmm.""]"
"Don't you move a pretty false eyelash, little lady.","Rör inte en ganska lös ögonfrans, lilla damen.","Rör inte en fin liten lösögonfrans, lilla damen","Rör inte en vacker lösögonfrans, lilla dam.","[""LF"", ""BET""]",True,"[""We'll be back."", ""- You ever had hot apple pie..."", ""- Let's go, Sams."", ""- [door shuts] - [sighing]"", ""[Zoey] I went into Lana's room, and that's when I saw Katie there, dead."", ""We heard the cops were coming, so that's when we had to hide the body."", ""Wait, you moved the body?"", ""Mm-hmm."", ""That's obstruction of justice."", ""Well, Lana said the O.K. House would be shut down if anyone found her.""]"
What a performance.,Vilken föreställning.,Vilket framträdande,Vilken föreställning.,"[""SEM""]",False,"[""That's obstruction of justice."", ""Well, Lana said the O.K. House would be shut down if anyone found her."", ""Don't you move a pretty false eyelash, little lady."", ""You're in deep trouble."", ""Deep."", ""Deep."", ""Hey, could I get, like, a magazine or something?"", ""When I saw it was Katie, I was totally devastated."", ""I didn't even know what to do."", ""[door opens]""]"
We're gonna be late again.,Vi kommer för sent igen.,Vi kommer bli sena igen,Vi kommer att bli sena igen.,"[""PR""]",True,"[""The Republican Andrew Boone, hoping to hold on to the Oval Office... by edging out... the Democratic challenger Donald Greenleaf."", ""Bud..."", ""Bud."", ""Bud!"", ""I'll call..."", ""I'll call him back."", ""If we had a phone, you could."", ""Come on!"", ""Goddamnit!"", ""It's cold.""]"
"Well, not every damn day I don't.",Inte varje jävla dag jag inte gör.,Inte varenda jävla dag nej.,"Nå, inte varenda jävla dag gör jag inte det.","[""SAK"", ""GR"", ""SEM""]",False,"[""I'll write you a note."", ""Now!"", ""I'm not going to tell you again!"", ""Get up!"", ""Bud!"", ""Alright, I'm coming!"", ""- What?"", ""- Egg salad."", ""Again?"", ""You like egg salad.""]"
You could mix it up a little.,Du kan blanda ihop det lite.,Du skulle kunna variera den lite.,Du kunde variera det lite.,"[""DIR"", ""SEM""]",True,"[""Now!"", ""I'm not going to tell you again!"", ""Get up!"", ""Bud!"", ""Alright, I'm coming!"", ""- What?"", ""- Egg salad."", ""Again?"", ""You like egg salad."", ""Well, not every damn day I don't.""]"
We're on a budget.,Vi har en budget på gång.,Vi har en begränsad budget,Vi har en budget.,"[""LF"", ""BET""]",False,"[""I'm not going to tell you again!"", ""Get up!"", ""Bud!"", ""Alright, I'm coming!"", ""- What?"", ""- Egg salad."", ""Again?"", ""You like egg salad."", ""Well, not every damn day I don't."", ""You could mix it up a little.""]"
The lobby business?,Affären i lobbyn?,Lobbyingföretaget?,Lobbyverksamheten?,"[""LF"", ""BET""]",True,"[""And their checkbooks."", ""People really like you, Bud."", ""They feel like you're one of them."", ""I'm not quite following you, Andy."", ""Sometimes you gotta figure out what you want in this life."", ""Then you have to decide how much it's worth to you."", ""Because they're gonna put it on your tombstone."", ""It's your legacy."", ""A measure of what you left behind."", ""Are we... are we still talking about the job?""]"
Fucking rusty cunt bucket!,Jävla rostig fitta hink!,Din dumma jävla rosthink!,Jävla rostiga fittskrot!,"[""SL"", ""GR"", ""BET""]",True,"[""What are you talking about?"", ""I never lied to you."", ""And when you told me you liked The Truth About Charlie?"", ""- What is The truth about charlie?"", ""- Exactly."", ""- Hit E ball, please."", ""- Look where we are now."", ""What about Vinnie?"", ""Think he's gonna be all right?"", ""50-50.""]"
"So ball's in your court, Fisher.","Så bollen är i din domstol, Fisher.","Så bollen är på din planhalva, Fisher","Så bollen ligger hos dig, Fisher.","[""ID"", ""LF"", ""BET""]",True,"[""Vitreous humor from an eyeball confirms time of death sometime between Friday night and Saturday morning."", ""And her final meal was lettuce, yogurt, chicken, and pita."", ""- Gyro."", ""- Most likely."", ""I've got them checking Greek restaurants in the neighborhood."", ""Maybe someone made a delivery to her office."", ""Dead before the fall."", ""Wish we knew how she died."", ""Tox screen came back negative."", ""No drugs, no poison, not even caffeine.""]"
So how about cutting me a little slack?,Vad sägs om att ta det lite lugnt?,Vad sägs om att vara lite schysst?,Så hur vore det att ge mig lite slack?,"[""SL"", ""SEM""]",False,"[""- Most likely."", ""I've got them checking Greek restaurants in the neighborhood."", ""Maybe someone made a delivery to her office."", ""Dead before the fall."", ""Wish we knew how she died."", ""Tox screen came back negative."", ""No drugs, no poison, not even caffeine."", ""So ball's in your court, Fisher."", ""Dr. Brennan left me with exactly 1,263 bone fragments."", ""Each one screaming pain, violence, and hopelessness.""]"
I'm having the garden all crazy paved.,Trädgården är helt galen.,Jag håller på att täcka över trädgården som bara den,Jag låter trädgården få helt galet mönsterlagd sten.,"[""SAK"", ""LF"", ""BET""]",False,"[""Lean on me."", ""I'm a big girl now, Luke."", ""I said I'll manage."", ""Bridget ..."", ""I just need a king size aspirin and a pack of ice."", ""They won't have ice at the Seven Stars."", ""Ask them for a hot water bottle."", ""Secateurs, twines, little pots, big pots, in-between pots, and assorted dibbers."", ""- Are you sure 'bout this, Jessie?"", ""- Never more so.""]"
I never cared for flowers.,Jag brydde mig aldrig om blommor.,Jag har aldrig gillat blommor,Jag har aldrig gillat blommor.,"[""DIR"", ""SEM""]",True,"[""Bridget ..."", ""I just need a king size aspirin and a pack of ice."", ""They won't have ice at the Seven Stars."", ""Ask them for a hot water bottle."", ""Secateurs, twines, little pots, big pots, in-between pots, and assorted dibbers."", ""- Are you sure 'bout this, Jessie?"", ""- Never more so."", ""I'm having the garden all crazy paved."", ""- Your lovely garden?"", ""- It was Edward's garden.""]"
You mustn't contradict me.,Du får inte säga emot mig.,Säg inte emot,Du får inte motsäga mig.,"[""SEM"", ""PR""]",False,"[""They won't have ice at the Seven Stars."", ""Ask them for a hot water bottle."", ""Secateurs, twines, little pots, big pots, in-between pots, and assorted dibbers."", ""- Are you sure 'bout this, Jessie?"", ""- Never more so."", ""I'm having the garden all crazy paved."", ""- Your lovely garden?"", ""- It was Edward's garden."", ""I never cared for flowers."", ""- No, you love flowers.""]"
"Try them on, Hugh.","Försök med dem, Hugh.","Pröva dem, Hugh","Prova dem, Hugh.","[""SEM""]",False,"[""I'm having the garden all crazy paved."", ""- Your lovely garden?"", ""- It was Edward's garden."", ""I never cared for flowers."", ""- No, you love flowers."", ""- You mustn't contradict me."", ""I'm a widow."", ""You're so lucky, Lydia."", ""I always thought so."", ""Ooh, garden gloves.""]"
That's sensible.,Det är förnuftigt.,Det är förståeligt,Det är förnuftigt.,"[""LF"", ""BET""]",False,"[""I'm just going to jump in here real quick and point out that this is the point in the conversation where I would volunteer to be the girl on the billboard, and then you guys would talk about how ugly you think I am, and compare me to"", ""- some sort of giant bird."", ""- You look so much like a bird."", ""- Dennis, I was thinking fish recently."", ""- Really?"", ""Yeah."", ""Her eyes are so far apart, they're like they're on..."", ""Okay, okay, but I don't want to be on your billboard."", ""I'm not going to ask to be because you wouldn't let me be on it anyway."", ""No.""]"
