english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_comparison,gpt_error_tags,explanation,problem_description,gpt_comparison_comment,reviewer_suggestion,legacy_tags,context_5,context_10
Spread your legs.,Sträck på benen.,Sära på benen,Särade på benen.,['LF' 'BET'],LLM WORSE,['LF' 'GR' 'BET'],Syftar till att be personen föra isär benen för genomsökning,"Felaktigt ord – ""spread"" = ""sära""",(O) - LLM fel tempus.,,Ordval,"[""This was nothing compared to what they'll do."" 'Take them in.'
 'Come on.' 'Hey.' '-Careful.']","[""-Yes, she's waiting somewhere."" ""I don't like that.""
 'None of the shopkeepers should know.' 'Simone.' 'Get used to it.'
 ""This was nothing compared to what they'll do."" 'Take them in.'
 'Come on.' 'Hey.' '-Careful.']"
We could hear the grass grow.,Vi kunde höra gräset växa.,Vi kunde höra gräset gro,Vi kunde höra gräset växa.,['ID' 'PR'],LLM WORSE,['ID' 'PR'],Syftar idiomatiskt till att det är väldigt tyst,Idiomatiskt uttryck som kräver användning av svensk motsvarighet,"(O) - Se ""Problembeskrivning/åtgärd""",,Idiomatiskt,"['Spread your legs.' '-Yes.' ""Didn't you like Normandy?""
 ""We don't have to say anything.""
 '-These gentlemen are just doing their job.']","[""This was nothing compared to what they'll do."" 'Take them in.'
 'Come on.' 'Hey.' '-Careful.' 'Spread your legs.' '-Yes.'
 ""Didn't you like Normandy?"" ""We don't have to say anything.""
 '-These gentlemen are just doing their job.']"
You were supposed to leave the area.,Du skulle ju lämna området.,Ni skulle ju ha lämnat området,Du skulle ha lämnat området.,['GR' 'PR'],LLM WORSE,['GR' 'SAK' 'BET'],"Syftar till att påpeka att personer, enligt överenskommelse, skulle ha lämnat ett specifikt område","Plural ""you"". För att få med kärnbetydelsen krävs anpassning efter svenska språket med tempus","(O) - Se ""Problembeskrivning/åtgärd""",,Grammatiskt,"['-Yes.' ""Didn't you like Normandy?"" ""We don't have to say anything.""
 '-These gentlemen are just doing their job.'
 'We could hear the grass grow.']","['Take them in.' 'Come on.' 'Hey.' '-Careful.' 'Spread your legs.' '-Yes.'
 ""Didn't you like Normandy?"" ""We don't have to say anything.""
 '-These gentlemen are just doing their job.'
 'We could hear the grass grow.']"
An old guy ruins the future of a young one.,En gammal man förstör framtiden för en ung man.,En gammal man förstör framtiden för en ung,En gammal man förstör framtiden för en ung.,['PR'],LLM OK,[],Syftar till att påpeka ironin med att en gammal man som har kort tid kvar att leva förstör för en ung man som har hela livet framför sig,"""one"" används inte på det här sättet i svenska. Att det handlar om en man båda gångerna är underförstått och behöver inte specificeras.",,,Grammatiskt,"[""You can't do that."" ""-Don't tell me you never did it.""
 ""We're not like you."" '-Why did you come back?'
 ""There's a good race in Longchamps today.""]","['-These gentlemen are just doing their job.'
 'We could hear the grass grow.' '-You were supposed to leave the area.'
 'We did.' ""Longchamps isn't Montmartre."" ""You can't do that.""
 ""-Don't tell me you never did it."" ""We're not like you.""
 '-Why did you come back?' ""There's a good race in Longchamps today.""]"
What about him?,Vad är det med honom?,Han då?,Hur är det med honom?,['ADD' 'SEM'],LLM WORSE,['LF' 'BET'],Syftar till att fråga vem refererad person är och vad han gör där,"""Vad är det med honom?"" hade varit en korrekt översättning för ""What's with him"". Här handlar det om att fråga om en person mer allmänt",(O) - AÖ mer passande. LLM är lite tvetydig.,,"Semantiskt, ordval","[""Just because there aren't any lawyers present?"" 'I am a lawyer.'
 'You are a lawyer.' ""I think we're covered."" 'What about Jerry?']","['Karen will stay with me in the winter and spring.'
 ""You'll have her fall and summer."" '[ Camera shutter clicking ]'
 'Agreed.' ""You're not gonna go back on any of this, are you?""
 ""Just because there aren't any lawyers present?"" 'I am a lawyer.'
 'You are a lawyer.' ""I think we're covered."" 'What about Jerry?']"
Who?,Vilka?,Vem då?,Vem?,['GR' 'PR'],LLM OK,[],Syftar till att fråga vilken person man menar,Singular. Anpassad efter svensk språkkänsla,(O) - LLM funkar lika bra.,,Grammatiskt,"[""How did you know it wasn't V.C.?""
 ""If it was V.C., we wouldn't have heard 'em.""
 'How come this place is so brown?'
 'I thought Vietnam was supposed to be nine shades of green.'
 'Them ranch hands.']","['PERCELL:' 'Easy, Duckworth.'
 ""We're not the only wildlife out here, you know."" 'Come on.'
 ""You didn't even react."" ""How did you know it wasn't V.C.?""
 ""If it was V.C., we wouldn't have heard 'em.""
 'How come this place is so brown?'
 'I thought Vietnam was supposed to be nine shades of green.'
 'Them ranch hands.']"
We like the neighbourhood a lot.,Vi tycker mycket om grannskapet.,Vi gillar området väldigt mycket,Vi gillar kvarteret mycket.,['GR' 'PR'],LLM WORSE,['GR' 'SAK' 'SEM'],Syftar till att förklara att man vill flytta till ett område för att man gillar det mycket,"""område"" mer använt än ""grannskap"". Omformulering.","(O) - LLM funkar okej men tror ""området"" skulle användas före ""kvarteret"" av majoritet.",,"Ordval, formulering","['Did François stay there?' 'Cut it out.'
 'You were here and you saw everything.' 'Where are we going?'
 'To the police station?']","['Have you been here for long?' '-No.' 'I looked everywhere for you.'
 'I was at the wrong platform.' ""Do you think you're at the flea market?""
 'Did François stay there?' 'Cut it out.'
 'You were here and you saw everything.' 'Where are we going?'
 'To the police station?']"
"Nice, open people.","Snyggt, öppna människor.","Trevligt, öppna människor","Trevligt, öppet folk.",['LF'],LLM OK,[],"Oklart im man syftar till enbart människorna här men ett område brukar inte beskrivas som ""snyggt""","""Nice"" är ett problemord med sin breda användning. I kontexten är ""trevligt"" passande för positiv beskrivning",(O) - LLM funkar lika bra.,,Semantiskt,"['You were here and you saw everything.' 'Where are we going?'
 'To the police station?' 'We like the neighbourhood a lot.' 'So?']","['I looked everywhere for you.' 'I was at the wrong platform.'
 ""Do you think you're at the flea market?"" 'Did François stay there?'
 'Cut it out.' 'You were here and you saw everything.'
 'Where are we going?' 'To the police station?'
 'We like the neighbourhood a lot.' 'So?']"
Exactly.,Exakt.,Precis,Precis.,['PR'],LLM OK,[],Syftar till att bekräfta det någon precis sagt,"Exakt kan klassas som en falsk vän då man oftast i svenskan föredrar ""precis""",,,Semantiskt,"[""Yeah, I know what you mean, but what's the story?""
 'Oh, no, no, no, that is the story.' ""It's the idiomatic phrase,""
 '""you can\'t put 10 pounds of poop in a five-pound bag.""'
 'You mean, like, indicating something is impossible?']","['Narrator:' 'Taking a catnap from cats,' 'Next is a myth that stinks.'
 ""So, what's up next?"" '10 pounds of poop in a five-pound bag.'
 ""Yeah, I know what you mean, but what's the story?""
 'Oh, no, no, no, that is the story.' ""It's the idiomatic phrase,""
 '""you can\'t put 10 pounds of poop in a five-pound bag.""'
 'You mean, like, indicating something is impossible?']"
It would be a shame if all your experience went unused.,Det skulle vara synd om alla dina erfarenheter gick oanvända.,Det vore synd om all din erfarenhet förblev outnyttjad,Det vore synd om all din erfarenhet gick till spillo.,['DIR' 'SEM' 'PR'],LLM OK,[],Syftar till att påpeka att personen har bra och användbara erfarenheter som bör nyttjas,Direktöversättning som kräver semantisk anpassning och omformulering efter svenska,(O) - LLM funkar lika bra.,,"Semantiskt, ordval","['-Nice, open people.' 'I know.' 'I know them.' '-Exactly.'
 'Work with us.']","['You were here and you saw everything.' 'Where are we going?'
 'To the police station?' 'We like the neighbourhood a lot.' 'So?'
 '-Nice, open people.' 'I know.' 'I know them.' '-Exactly.'
 'Work with us.']"
I'm not leaving.,Jag går inte.,Jag tänker inte gå,Jag tänker inte lämna.,['DIR' 'SEM'],LLM WORSE,['PR'],Syftar till att kommunicera att alla i en grupp saknar personen,Direktöversättning som kräver semantisk anpassning och omformulering efter svenska,(O) - LLM funkar lika bra.,,Semantiskt,"['You all right?' 'Darrin, man, you gotta get down here.'
 '- This is amazing.' '- No, we gotta go, man.' 'No.']","['You guys!' 'You guys, this is amazing!' 'How did I do this?' 'Reid.'
 'Darrin.' 'You all right?' 'Darrin, man, you gotta get down here.'
 '- This is amazing.' '- No, we gotta go, man.' 'No.']"
I'm going out.,Jag går ut.,Jag ska ut,Jag går ut.,['PR'],LLM WORSE,['PR'],Syftar till att alldagligt kommunicera att man ska lämna hemmet och göra något,Anpassning efter mer naturligt språk och språkkänsla,"(O) - Se ""Problembeskrivning/åtgärd""",,Ordval,"['Is it a bargain?' 'It is.'
 ""I'll try and move all this stuff out of your way tomorrow.""
 ""This shop's opening at 6:00 in the morning."" 'Will, take your coat off.']","['We shall be needing some bed linen.'
 ""I'll buy it from you - if we come to terms.""
 ""- I'll give you five shillings a week.""
 '- Well, I might take seven and sixpence.'
 ""There's two pounds for eight weeks rent in advance."" 'Is it a bargain?'
 'It is.' ""I'll try and move all this stuff out of your way tomorrow.""
 ""This shop's opening at 6:00 in the morning."" 'Will, take your coat off.']"
I have to find the kid.,Jag måste hitta grabben.,Jag måste hitta ungen,Jag måste hitta ungen.,['SEM'],LLM OK,[],Syftar till att man måste hitta barnet av okänt (IRRELEVANT)  kön,"problemuttryck --> ""ungen"" för könsneutralt?",,,Semantiskt,"[""I'm not leaving."" ""I'm going out."" 'René?'
 ""Don't you think we age well together?"" 'Yes, but still.']","['They wish they were like you.' 'Are you going?'
 ""Won't you spend the night here?"" 'Are you sleeping with somebody else?'
 ""I love it when you're jealous."" ""I'm not leaving."" ""I'm going out.""
 'René?' ""Don't you think we age well together?"" 'Yes, but still.']"
I do.,Det gör jag.,Jo,Jo.,['ADD' 'SEM'],LLM OK,[],Syftar till att svara bekräftande,För långt. Anpassning efter mer naturligt språk och språkkänsla,,,"Semantiskt, ordval","[""I've got five more pounds to lose and five hours to do it in.""
 'This is my last day.'
 'If you spend five hours in that it really will be your last day.'
 ""Well, it's my only chance, Ethel.""
 ""Okay, I only hope you know what you're doing.""]","['I rented it.' ""You really are determined, aren't you?"" 'Of course-'
 ""- I'm going to do that number with Ricky tonight.""
 'Did you lose enough weight?'
 ""I've got five more pounds to lose and five hours to do it in.""
 'This is my last day.'
 'If you spend five hours in that it really will be your last day.'
 ""Well, it's my only chance, Ethel.""
 ""Okay, I only hope you know what you're doing.""]"
I'm so tired my breasts are sagging.,Jag är så trött på brösten.,Jag är så trött på att mina bröst hänger,Jag är så trött att brösten hänger.,['SAK' 'BET'],LLM WORSE,['GR' 'LF' 'BET'],syftar till negativa känslor gällande kroppsdelen bröst som med tiden blir mer hängiga,Saknas ord för att förmedla hela budskapet med att vara trött vad som händer med brösten och inte brösten i sig,(O) - Tycker LLM effektiviserar meningen.,,Grammatiskt,"['Thanks.' ""Don't you like it?"" '-I do.' ""What's wrong then?""
 'I have to sleep.']","['Of course.' 'Headquarters?' 'Have you seen Lesbuche?' 'No.' 'Nobody.'
 'Thanks.' ""Don't you like it?"" '-I do.' ""What's wrong then?""
 'I have to sleep.']"
Won't you be angry?,Blir du inte arg?,Kommer inte du bli arg?,Blir du inte arg?,['SEM'],LLM WORSE,['PR'],"Onaturligt. Futurum med hjälpverb ""kommer"" bör användas",Anpassning efter mer naturligt språk och språkkänsla,"(O) - Tycker LLM funkar i talspråk, men ser lite  onaturlig ut i skrift.",,Semantiskt,"['I have to sleep.' ""I'm so tired my breasts are sagging."" 'I love you.'
 'I love you too.' ""But why aren't things the way they used to be?""]","['Nobody.' 'Thanks.' ""Don't you like it?"" '-I do.' ""What's wrong then?""
 'I have to sleep.' ""I'm so tired my breasts are sagging."" 'I love you.'
 'I love you too.' ""But why aren't things the way they used to be?""]"
"When you'd come over at night, you'd put your gun on the table.",När du kom över på kvällen lade du din pistol på bordet.,"När du kom över om kvällarna, brukade du lägga din pistol på bordet",När du kom över på natten lade du pistolen på bordet.,['GR' 'SEM' 'PR'],LLM WORSE,['LF' 'SAK' 'SEM'],Syftar till något som brukade ske,Anpassning efter mer korrektoch naturligt språk samt språkkänsla,(O) - LLM blir oklart om meningen syftar till ett eller flera tillfällen. AÖ tydligare.,,"Grammatiskt, Formulering","[""But why aren't things the way they used to be?"" ""Won't you be angry?""
 'Do you have somebody else?' 'Yes.' ""But it's you.""]","[""What's wrong then?"" 'I have to sleep.'
 ""I'm so tired my breasts are sagging."" 'I love you.' 'I love you too.'
 ""But why aren't things the way they used to be?"" ""Won't you be angry?""
 'Do you have somebody else?' 'Yes.' ""But it's you.""]"
If he happens...,Om han händer...,Om han skulle...,Om han råkar…,['DIR' 'BET'],LLM WORSE,['SEM'],Syftar till att om någon skulle eller skulle råka göra något. Happens = skulle (början på fras),Översättningen fungerar inte. Kräver anpassning efter betydelse,"(O) - Tycker ""skulle"" är mer passande än ""råkar"" i detta fall.",,Semantiskt,"['Are you expecting somebody?' '-Are you crazy?' ""It's me again.""
 'Any news from François?' ""No, I'm so worried.""]","['Yes.' ""But it's you.""
 ""When you'd come over at night, you'd put your gun on the table.""
 'That turned me on.' 'I miss that.' 'Are you expecting somebody?'
 '-Are you crazy?' ""It's me again."" 'Any news from François?'
 ""No, I'm so worried.""]"
"just happens to call or something, tell him I'll have lunch at 12 at Salla's.",Säg att jag äter lunch klockan tolv på Salla's.,"Skulle ringa eller något, säg att jag ska äta
lunch vid tolv på Sallas.","bara råkar ringa eller nåt, säg åt honom att jag äter lunch klockan tolv hos Salla.",['SAK' 'BET' 'PR'],LLM WORSE,['LF' 'BET' 'SEM'],Saknas del om att omtalad skulle råka höra av sig,"Fortsättning på ""Om han skulle"". Saknas delar i mening. Tempus.","(O) - ""Salla's"" refererar troligtvis till en restaurang, vilket LLM missar.","Skulle ringa eller något, säg att jag ska äta
lunch vid tolv på Sallas.",Ordval,"['-Are you crazy?' ""It's me again."" 'Any news from François?'
 ""No, I'm so worried."" 'If he happens...']","[""But it's you.""
 ""When you'd come over at night, you'd put your gun on the table.""
 'That turned me on.' 'I miss that.' 'Are you expecting somebody?'
 '-Are you crazy?' ""It's me again."" 'Any news from François?'
 ""No, I'm so worried."" 'If he happens...']"
"I'm afraid so, yes.","Jag är rädd för det, ja.","Jag är rädd att det är så, ja","Tyvärr, ja.",['SEM'],LLM WORSE,['SAK' 'SEM'],syftar till att bekräfta att något illa är sant eller har hänt,Idiomatiskt uttryck som kräver omformulering för att fånga innebörd,(O) - LLM funkar lika bra.,,idiomatiskt,"['If he happens...'
 ""just happens to call or something, tell him I'll have lunch at 12 at Salla's.""
 'I will.' ""I'd like to order, Salla."" 'Will you eat alone, René?']","['Are you expecting somebody?' '-Are you crazy?' ""It's me again.""
 'Any news from François?' ""No, I'm so worried."" 'If he happens...'
 ""just happens to call or something, tell him I'll have lunch at 12 at Salla's.""
 'I will.' ""I'd like to order, Salla."" 'Will you eat alone, René?']"
He's on a job.,Han är på ett jobb.,Han utför ett jobb,Han är på ett jobb.,['GR' 'SEM'],LLM WORSE,['GR' 'SEM'],Syftar till att person är iväg och utför ett uppdrag i arbetssyfte.,Översättningen behöver anpassas efter hur man uttrycker sig på svenska,"(O) - Se ""Problembeskrivning/åtgärd""",,Semantiskt,"['François convinced me.' ""We'll save you from those two rotten cops.""
 'But it will take time.' 'So we need an advance.' ""And where's François?""]","[""-I'm afraid so, yes."" ""Hello, I'm looking for friends."" 'Hello.'
 '-Hello.' ""I thought you weren't interested in our problems.""
 'François convinced me.' ""We'll save you from those two rotten cops.""
 'But it will take time.' 'So we need an advance.' ""And where's François?""]"
You'll be surprised.,Du kommer att bli förvånad.,Du kommer att bli övverraskad,Du kommer att bli förvånad.,['SEM'],LLM WORSE,['SEM'],Syftar till att vilja visa en person något som kommer övverraska dem,"Det korrekta ordet i kontexten är ""överraskad""","(O) - Se ""Problembeskrivning/åtgärd""",,Semantiskt,"['Very good.' 'I knew you would do a good job.' ""it's good."" 'Excellent.'
 ""I've even got a book title.""]","['For you too.' 'What?' ""Don't be shy."" 'Wear properly.' 'Excellent.'
 'Very good.' 'I knew you would do a good job.' ""it's good."" 'Excellent.'
 ""I've even got a book title.""]"
"No, no.","Nej, det gör jag inte.","Nej, nej.","Nej, nej.",['ADD' 'BET'],LLM OK,[],Syftar till att att svara nekande dubbelt,Onödigt lång översättning,,,Ordval,"[""I'll get a job."" '- Are you sure?' ""- Yes, I'm quite sure.""
 'Goodbye, Gerald.' 'Please go quickly now.']","[""- I don't need any money."" 'Please take it.'
 ""I couldn't bear it if you didn't.""
 ""It's something to keep you going until you get a decent job.""
 ""Oh, don't worry about me."" ""I'll get a job."" '- Are you sure?'
 ""- Yes, I'm quite sure."" 'Goodbye, Gerald.' 'Please go quickly now.']"
About the money...,Om pengarna...,Gällande pengarna,Om pengarna…,['SEM'],LLM WORSE,['SEM'],Syftar till att återuppta diskussion gällande en summa pengar,"I samtalskontext används ""gällande"" för att påminna eller återuppta ett ämne","(O) - Se ""Problembeskrivning/åtgärd""",,Semantiskt,"[""You don't need to understand."" 'You mean François is with them...'
 '-No, no.' ""I didn't say a word."" 'This is too complicated for me.']","['Can you explain that to me?' 'So what?' ""There's nothing to explain.""
 'You want us to arrest those 2 cops.' 'I have my ways.'
 ""You don't need to understand."" 'You mean François is with them...'
 '-No, no.' ""I didn't say a word."" 'This is too complicated for me.']"
What game are you playing?,Vad spelar du för spel?,Vad är det för spel du spelar?,Vad är det för spel du spelar?,['DIR' 'SEM'],LLM OK,[],Syftar till att metaforiskt fråga vad någon har för strategi med det de gör,Idiomatiskt uttryck som kan översättas till ett fungerande uttryck,,,Idiomatiskt,"['This is too complicated for me.' 'About the money...' 'Come back later.'
 'François.' 'Why do you hang out with that scum?']","['I have my ways.' ""You don't need to understand.""
 'You mean François is with them...' '-No, no.' ""I didn't say a word.""
 'This is too complicated for me.' 'About the money...' 'Come back later.'
 'François.' 'Why do you hang out with that scum?']"
"No, I won't let you go, understood?","Nej, jag låter dig inte gå, förstått?","Nej, jag kommer inte släppa dig, är det förstått?","Nej, jag släpper dig inte, förstått?",['DIR' 'SEM'],LLM WORSE,['SEM' 'PR'],Syftar till att kommunicera att man vill ha kvar en person i sitt liv och inte kommer släppa dem,Omformulering och anpassning efter svensk språkkänsla,"(O) - LLM funkar okej men tycker ""kommer inte"" är en mer passande översättning.",,"Ordval, Semantiskt","['Come back later.' 'François.' 'Why do you hang out with that scum?'
 'What game are you playing?' '-Go back to your horses.']","['You mean François is with them...' '-No, no.' ""I didn't say a word.""
 'This is too complicated for me.' 'About the money...' 'Come back later.'
 'François.' 'Why do you hang out with that scum?'
 'What game are you playing?' '-Go back to your horses.']"
You let me go when I tell you to.,Släpp mig när jag säger till.,Du släpper mig när jag säger åt dig att göra det,Du släpper mig när jag säger till.,['SAK' 'BET' 'SEM'],LLM WORSE,['SAK' 'SEM'],Syftar till att kommunicera att man själv vill ha det avgörande ordet för när en relation ska ta slut,Omformulering och anpassning efter svensk språkkänsla,(O) - LLM funkar lika bra.,,"Ordval, Semantiskt","['François.' 'Why do you hang out with that scum?'
 'What game are you playing?' '-Go back to your horses.'
 ""No, I won't let you go, understood?""]","['-No, no.' ""I didn't say a word."" 'This is too complicated for me.'
 'About the money...' 'Come back later.' 'François.'
 'Why do you hang out with that scum?' 'What game are you playing?'
 '-Go back to your horses.' ""No, I won't let you go, understood?""]"
"You may be suspended, but you're still a cop.","Du kanske blir avstängd, men du är fortfarande polis.","Du må vara avstängd, men du är fortfarande polis.","Du kan vara avstängd, men du är fortfarande polis.",['LF' 'BET'],LLM WORSE,['LF' 'BET'],"syftar till att kommunicera att personen just nu är avstängd från sitt jobb, men de är fortfarande polis till yrket","""May"" = må. Presens.","(O) - LLM fortfarande fel definition av ""may"".",,Semantiskt,"['Why do you hang out with that scum?' 'What game are you playing?'
 '-Go back to your horses.' ""No, I won't let you go, understood?""
 'You let me go when I tell you to.']","[""I didn't say a word."" 'This is too complicated for me.'
 'About the money...' 'Come back later.' 'François.'
 'Why do you hang out with that scum?' 'What game are you playing?'
 '-Go back to your horses.' ""No, I won't let you go, understood?""
 'You let me go when I tell you to.']"
"Come on, get dressed.",Klä på dig.,"Kom igen, klä på dig","Kom igen, klä på dig.",['SAK' 'SEM'],LLM OK,[],Syftar till att uppmana någon till att sätta igång med att klä på sig,Saknas delar av fras,,,Ordval,"['In bed with a whore, great.' 'She quit a long time ago.'
 '-Are you sure of that?' 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.']","['What game are you playing?' '-Go back to your horses.'
 ""No, I won't let you go, understood?"" 'You let me go when I tell you to.'
 ""You may be suspended, but you're still a cop.""
 'In bed with a whore, great.' 'She quit a long time ago.'
 '-Are you sure of that?' 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.']"
We're taking you in.,Vi ska ta in dig.,Vi tar in dig,Vi tar in dig.,['GR' 'PR'],LLM OK,[],Syftar till att som polis säga åt en person att denne ska tas in till stationen,presens,,,Grammatiskt,"['She quit a long time ago.' '-Are you sure of that?'
 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.' 'Come on, get dressed.']","['-Go back to your horses.' ""No, I won't let you go, understood?""
 'You let me go when I tell you to.'
 ""You may be suspended, but you're still a cop.""
 'In bed with a whore, great.' 'She quit a long time ago.'
 '-Are you sure of that?' 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.' 'Come on, get dressed.']"
Go.,Kör.,Kom igen,Gå.,['SEM'],LLM WORSE,['DIR' 'LF' 'BET'],Syftar till att skynda på någon i en process,"I situationer där man påskyndar någon är ""kom igen"" oftast den bästa frasen.","(O) - LLM fel definition av ""go"".",,Semantiskt,"[""But you've got to remember where you left your mind.""
 'I cook you good meal.' 'Real service food.' 'Chili..'
 'Bring me some wood for the fire.']","['Shut up!' ""Oh you're the funniest son-of-a-gun I ever met.""
 'Alright you old goat.' ""I'll stay."" 'For a couple of days.'
 ""But you've got to remember where you left your mind.""
 'I cook you good meal.' 'Real service food.' 'Chili..'
 'Bring me some wood for the fire.']"
Touching to see an old colleague at the end of his career.,Att se en gammal kollega i slutet av sin karriär.,Gripande att se en gammal kollega i slutet av sin karriär,Rörande att se en gammal kollega i slutet av hans karriär.,['SAK' 'BET'],LLM WORSE,['SEM' 'GR'],Syftar till att det är emotionellt berörande att se en äldre kollega som snart inte jobbar kvar mer,Saknas delar av fras,"(O) - ""I slutet av hans karriär"" låter udda i mina öron. ""Sin"" mer korrekt.",,Ordval,"['A cop who lives with a whore, is a pimp.' 'Come on, get dressed.'
 ""We're taking you in."" 'Go.' ""You're really an old man.""]","[""You may be suspended, but you're still a cop.""
 'In bed with a whore, great.' 'She quit a long time ago.'
 '-Are you sure of that?' 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.' 'Come on, get dressed.'
 ""We're taking you in."" 'Go.' ""You're really an old man.""]"
Our station's behind it.,Vår station ligger bakom det.,Vår station ligger där bakom,Vår station ligger bakom det.,['SEM' 'PR'],LLM WORSE,['SEM' 'PR'],Syftar till att förklara att stationen ligger bakom annat i staden,Anpassning efter svensk språkkänsla. Utrum,(O) - LLM tolkar meningens syfte fel.,,"Grammatiskt, Formulering","['Go.' ""You're really an old man.""
 'Touching to see an old colleague at the end of his career.' 'Yes.'
 'Do you see the subway?']","['-Are you sure of that?' 'A cop who sleeps with a whore, is a customer.'
 'A cop who lives with a whore, is a pimp.' 'Come on, get dressed.'
 ""We're taking you in."" 'Go.' ""You're really an old man.""
 'Touching to see an old colleague at the end of his career.' 'Yes.'
 'Do you see the subway?']"
What's wrong?,Vad är det?,Vad är problemet?,Vad är fel?,['SEM'],LLM WORSE,['DIR' 'SEM'],Syftar till att ifrågasätta vad personen negativt syftar till,"Kontexten är negativ och ifrågasättande, därmed ""vad är problemet"" mer passande","(O) - ""Vad är problemet"" är mer etablerat som ett uttryck som levereras med en särskild ton - negativ och ifrågasättande. ""Vad är fel"" kan levereras med många olika tonfall som påverkar innebörden. Det blir därför otydligare.",,Semantiskt,"['- about a room full of guys watching sports.' '- Mm-hmm.' 'Makes sense.'
 ""Ever since they started sitting down to pee, it's really the only manly thing they do.""
 'Unbelievable!']","['Fine, but we have to finish this!'
 ""If you're not down here in ten minutes,"" 'I am climbing in with you!'
 '(men cheering)' ""I don't know what it is, but there's something sexy""
 '- about a room full of guys watching sports.' '- Mm-hmm.' 'Makes sense.'
 ""Ever since they started sitting down to pee, it's really the only manly thing they do.""
 'Unbelievable!']"
People just don't notice a black person.,Folk märker bara inte en svart person.,Folk lägger bara inte märke till en svart person.,Folk märker helt enkelt inte en svart person.,['PR'],LLM OK,[],Syftar till att svarta personer inte blir lika uppmärksammade bland folk,Anpassning efter mer naturligt språk och språkkänsla,(O) - LLM funkar lika bra.,,Formulering,"['Did you ask him?' ""He's not talking to me anymore.""
 'Do you want us to follow François?' ""He'd notice right away.""
 ""When you're black in Paris, you could die in the street and nobody would notice.""]","['You can sleep here.' 'And you?' '-I work at night.'
 ""I don't understand."" ""I don't understand what he's doing.""
 'Did you ask him?' ""He's not talking to me anymore.""
 'Do you want us to follow François?' ""He'd notice right away.""
 ""When you're black in Paris, you could die in the street and nobody would notice.""]"
I taught her to pretend she was enjoying herself.,Jag lärde henne att låtsas att hon roade sig.,Jag lärde henne låtsas som om hon njöt av det,Jag lärde henne att låtsas njuta.,['DIR' 'SEM'],LLM WORSE,['SAK' 'SEM'],Syftar till att personen lärde en prostituerad agera som om hon njöt av sitt arbete,"""Enjoy"" = ""njuta"". Omformulering  efter mer korrekt svenska",(O) - LLM specificerar ej vad personen lärde sig låtsas njuta av. Otydligare.,,"Semantiskt, formulering","[""I don't like to see you like this, René.""
 'He could have made it to chief.' ""-It's not your fault.""
 'Do you remember Cathy?' 'The little girl from the Rue Lamarck.']","[""He's not talking to me anymore."" 'Do you want us to follow François?'
 ""He'd notice right away.""
 ""When you're black in Paris, you could die in the street and nobody would notice.""
 ""People just don't notice a black person.""
 ""I don't like to see you like this, René.""
 'He could have made it to chief.' ""-It's not your fault.""
 'Do you remember Cathy?' 'The little girl from the Rue Lamarck.']"
But she really enjoyed herself with her customers.,Men hon njöt verkligen av sina kunder.,Men hon njöt verkligen med sina kunder,Men hon njöt faktiskt med sina kunder.,['LF' 'SEM'],LLM OK,[],Syftar till att den prostituerade kvinnan verkligen hade det bra med sina kunder,I kontexten är man med sina kunder,"(O) - Tycker ""verkligen"" och ""faktiskt"" fyller samma funktion i detta sammanhang.",,Ordval,"['He could have made it to chief.' ""-It's not your fault.""
 'Do you remember Cathy?' 'The little girl from the Rue Lamarck.'
 'I taught her to pretend she was enjoying herself.']","['Do you want us to follow François?' ""He'd notice right away.""
 ""When you're black in Paris, you could die in the street and nobody would notice.""
 ""People just don't notice a black person.""
 ""I don't like to see you like this, René.""
 'He could have made it to chief.' ""-It's not your fault.""
 'Do you remember Cathy?' 'The little girl from the Rue Lamarck.'
 'I taught her to pretend she was enjoying herself.']"
But François could have gone straight.,Men François kunde ha gått rakt på sak.,Men François hade kunnat bli laglydig,Men François kunde ha blivit hederlig.,['SL' 'LF' 'BET'],LLM OK,[],Syftar till att Francois hade möjligheten att ändra sitt liv från kriminell till laglydig medborgare,"Idiomatiskt uttryck ""gone straight"" finns inte i svenskan och kräver översättning som fångar betydelsen",(O) - LLM funkar lika bra.,,Idiomatiskt,"[""-It's not your fault."" 'Do you remember Cathy?'
 'The little girl from the Rue Lamarck.'
 'I taught her to pretend she was enjoying herself.'
 'But she really enjoyed herself with her customers.']","[""He'd notice right away.""
 ""When you're black in Paris, you could die in the street and nobody would notice.""
 ""People just don't notice a black person.""
 ""I don't like to see you like this, René.""
 'He could have made it to chief.' ""-It's not your fault.""
 'Do you remember Cathy?' 'The little girl from the Rue Lamarck.'
 'I taught her to pretend she was enjoying herself.'
 'But she really enjoyed herself with her customers.']"
